Customer ID,Age,Annual Income,Spending Score
CUST1094,43.0,133834.0,45.0
CUST1095,42.0,108848.0,77.0
CUST1096,62.0,67921.0,4.0
CUST1097,58.0,141141.0,62.0
CUST1098,46.0,37677.0,65.0
CUST1099,32.0,70609.0,32.0
CUST1100,62.0,46024.0,34.0
CUST1101,18.0,85313.0,92.0
CUST1102,42.0,142813.0,95.0
CUST1103,24.0,110285.0,72.0
CUST1104,26.0,128632.0,39.0
CUST1105,41.0,18051.0,26.0
CUST1106,18.0,129692.0,34.0
CUST1107,61.0,102235.0,54.0
CUST1108,25.0,88523.0,3.0
CUST1109,41.0,109476.0,50.0
CUST1110,28.0,32019.0,12.0
CUST1111,68.0,98613.0,65.0
CUST1112,34.0,101672.0,54.0
CUST1113,25.0,88847.0,5.0
CUST1114,52.0,97750.0,94.0
CUST1115,52.0,43251.0,94.0
CUST1116,50.0,118481.0,57.0
CUST1117,22.0,127566.0,17.0
CUST1118,59.0,40945.0,47.0
CUST1119,56.0,105852.0,23.0
CUST1120,58.0,47217.0,79.0
CUST1121,45.0,23308.0,85.0
CUST1122,24.0,20949.0,14.0
CUST1123,26.0,147222.0,66.0
CUST1124,25.0,115235.0,75.0
CUST1125,29.0,89740.0,51.0
CUST1126,51.0,131352.0,38.0
CUST1127,50.0,81617.0,64.0
CUST1128,65.0,31896.0,98.0
CUST1129,40.0,145798.0,38.0
CUST1130,,20237.0,50.0
CUST1131,54.0,35056.0,98.0
CUST1132,52.0,129548.0,82.0
CUST1133,61.0,126488.0,30.0
CUST1134,57.0,149415.0,79.0
CUST1135,39.0,44375.0,91.0
CUST1136,44.0,31964.0,51.0
CUST1137,52.0,128429.0,63.0
CUST1138,18.0,82215.0,98.0
CUST1139,52.0,84042.0,52.0
CUST1140,54.0,108468.0,38.0
CUST1141,64.0,24435.0,97.0
CUST1142,31.0,93832.0,88.0
CUST1143,20.0,66293.0,79.0
CUST1144,18.0,93781.0,30.0
CUST1145,22.0,58919.0,51.0
CUST1146,43.0,136172.0,81.0
CUST1147,31.0,109758.0,5.0
CUST1148,56.0,71573.0,29.0
CUST1149,44.0,74101.0,4.0
CUST1150,26.0,41646.0,10.0
CUST1151,32.0,119185.0,56.0
CUST1152,32.0,38049.0,
CUST1153,43.0,113116.0,74.0
CUST1154,59.0,112379.0,17.0
CUST1155,30.0,83385.0,84.0
CUST1156,68.0,141131.0,88.0
CUST1157,49.0,38289.0,69.0
CUST1158,56.0,125226.0,34.0
CUST1159,66.0,115793.0,6.0
CUST1160,69.0,24823.0,53.0
CUST1161,49.0,56975.0,66.0
CUST1162,21.0,24540.0,77.0
CUST1163,47.0,31364.0,43.0
CUST1164,54.0,42663.0,75.0
CUST1165,40.0,66991.0,23.0
CUST1166,56.0,119182.0,55.0
CUST1167,62.0,109704.0,80.0
CUST1168,32.0,64115.0,95.0
CUST1169,60.0,106007.0,75.0
CUST1170,46.0,26938.0,16.0
CUST1171,53.0,106680.0,8.0
CUST1172,30.0,19000.0,4.0
CUST1173,49.0,116042.0,4.0
CUST1174,24.0,108610.0,56.0
CUST1175,68.0,118691.0,25.0
CUST1176,39.0,53304.0,67.0
CUST1177,45.0,84449.0,96.0
CUST1178,19.0,97986.0,67.0
CUST1179,59.0,123940.0,27.0
CUST1180,62.0,53494.0,93.0
CUST1181,23.0,18373.0,32.0
CUST1182,45.0,112532.0,50.0
CUST1183,45.0,107658.0,61.0
CUST1184,61.0,138633.0,51.0
CUST1185,61.0,115386.0,19.0
CUST1186,37.0,42350.0,21.0
CUST1187,47.0,108008.0,5.0
CUST1188,28.0,109297.0,82.0
CUST1189,45.0,40351.0,92.0
CUST1190,42.0,103668.0,42.0
CUST1191,56.0,129585.0,61.0
CUST1192,50.0,90353.0,22.0
CUST1193,18.0,80953.0,21.0
CUST1194,44.0,72458.0,70.0
CUST1195,69.0,35358.0,1.0
CUST1196,30.0,18267.0,5.0
CUST1197,58.0,97745.0,12.0
CUST1198,20.0,104588.0,90.0
CUST1199,56.0,53513.0,46.0
CUST1200,23.0,26338.0,34.0
CUST1201,25.0,146484.0,49.0
CUST1202,44.0,22543.0,78.0
CUST1203,26.0,120891.0,90.0
CUST1204,54.0,75692.0,45.0
CUST1205,50.0,59425.0,27.0
CUST1206,68.0,53756.0,73.0
CUST1207,59.0,33888.0,26.0
CUST1208,61.0,62295.0,47.0
CUST1209,41.0,129352.0,86.0
CUST1210,32.0,98042.0,56.0
CUST1211,49.0,100999.0,94.0
CUST1212,49.0,32955.0,63.0
CUST1213,41.0,52841.0,48.0
CUST1214,58.0,85640.0,61.0
CUST1215,69.0,76476.0,81.0
CUST1216,66.0,59811.0,26.0
CUST1217,66.0,86180.0,36.0
CUST1218,69.0,127856.0,1.0
CUST1219,29.0,83450.0,8.0
CUST1220,56.0,126888.0,99.0
CUST1221,19.0,125448.0,52.0
CUST1222,20.0,29397.0,79.0
CUST1223,,146800.0,47.0
CUST1224,54.0,134180.0,56.0
CUST1225,66.0,81234.0,86.0
CUST1226,34.0,54954.0,14.0
CUST1227,66.0,94459.0,90.0
CUST1228,19.0,74163.0,28.0
CUST1229,19.0,66934.0,87.0
CUST1230,45.0,,78.0
CUST1231,40.0,20486.0,88.0
CUST1232,54.0,101900.0,2.0
CUST1233,49.0,141020.0,26.0
CUST1234,50.0,117795.0,14.0
CUST1235,18.0,102508.0,59.0
CUST1236,36.0,133324.0,56.0
CUST1237,19.0,75566.0,7.0
CUST1238,61.0,42192.0,3.0
CUST1239,,,23.0
CUST1240,49.0,99076.0,18.0
CUST1241,23.0,104780.0,38.0
CUST1242,49.0,36689.0,99.0
CUST1243,21.0,26174.0,15.0
CUST1244,28.0,103461.0,64.0
CUST1245,34.0,141174.0,89.0
CUST1246,55.0,118033.0,28.0
CUST1247,41.0,24348.0,74.0
CUST1248,22.0,53102.0,39.0
CUST1249,69.0,89460.0,57.0
CUST1250,51.0,117634.0,17.0
CUST1251,23.0,104930.0,86.0
CUST1252,39.0,21801.0,90.0
CUST1253,28.0,118150.0,44.0
CUST1254,65.0,16542.0,25.0
CUST1255,33.0,36677.0,17.0
CUST1256,50.0,54081.0,13.0
CUST1257,26.0,108105.0,84.0
CUST1258,23.0,34065.0,
CUST1259,,103092.0,68.0
CUST1260,46.0,69693.0,10.0
CUST1261,20.0,41962.0,67.0
CUST1262,37.0,43295.0,18.0
CUST1263,53.0,28807.0,86.0
CUST1264,36.0,147396.0,34.0
CUST1265,43.0,106267.0,8.0
CUST1266,20.0,34870.0,40.0
CUST1267,36.0,41790.0,83.0
CUST1268,37.0,133874.0,42.0
CUST1269,49.0,40289.0,41.0
CUST1270,24.0,30485.0,6.0
CUST1271,69.0,59482.0,52.0
CUST1272,58.0,101188.0,26.0
CUST1273,50.0,19748.0,64.0
CUST1274,57.0,18709.0,98.0
CUST1275,56.0,138961.0,59.0
CUST1276,35.0,45355.0,56.0
CUST1277,57.0,57918.0,59.0
CUST1278,18.0,67224.0,70.0
CUST1279,28.0,54298.0,33.0
CUST1280,45.0,95219.0,
CUST1281,42.0,76629.0,22.0
CUST1282,67.0,81040.0,21.0
CUST1283,40.0,43016.0,70.0
CUST1284,48.0,38960.0,70.0
CUST1285,47.0,48591.0,4.0
CUST1286,59.0,118333.0,94.0
CUST1287,52.0,129821.0,75.0
CUST1288,24.0,51395.0,62.0
CUST1289,33.0,144695.0,62.0
CUST1290,43.0,49620.0,94.0
CUST1291,65.0,143148.0,95.0
CUST1292,69.0,,24.0
CUST1293,66.0,108396.0,55.0
CUST1294,19.0,,9.0
CUST1295,18.0,,3.0
CUST1296,65.0,28843.0,31.0
CUST1297,29.0,129065.0,40.0
CUST1298,22.0,86726.0,36.0
CUST1299,54.0,32640.0,24.0
CUST1000,56.0,44855.0,49.0
CUST1001,69.0,22400.0,14.0
CUST1002,46.0,132858.0,15.0
